matrix	SS:DOT	SS:SAXPY	Hash	MSA	MCA
68	6.029950058	12.22265507	10.57213754	14.45314478	10.13272008
64	5.764837775	11.57789644	10.6654981	14.41002328	9.757004022
32	2.896989845	5.878329746	5.384361263	7.3360059	4.968874999
16	1.423074294	2.932321367	2.832036383	3.940370314	2.756446098
8	0.7261017826	1.677613146	1.461382744	2.132346214	1.510074801
4	0.3646722048	0.8633525668	0.7554434855	1.181205062	0.8586241444
2	0.2028408785	0.4529918491	0.3991867204	0.6826926056	0.5393392305
1	0.1042969008	0.2380706317	0.2086955705	0.3769693246	0.3703286373
